file,sample,total,base_substitution,small_indel,large_deletion,large_insertion,large_amplification,large_substitution,mobile_element_insertion,gene_conversion,inversion,reference_bp,called_reference_bp,base_substitution.synonymous,base_substitution.nonsynonymous,base_substitution.nonsense,base_substitution.noncoding,base_substitution.pseudogene,base_substitution.intergenic
T1_LE51.filtered.gatk.gd,T1_LE51,3,2,1,0,0,0,0,0,0,0,3773875,3773875,1,1,0,0,0,0
T1_LE53.filtered.gatk.gd,T1_LE53,7,5,2,0,0,0,0,0,0,0,3773875,3773875,3,2,0,0,0,0
T1_LE54.filtered.gatk.gd,T1_LE54,8,6,2,0,0,0,0,0,0,0,3773875,3773875,3,3,0,0,0,0
T1_LE55.filtered.gatk.gd,T1_LE55,8,6,2,0,0,0,0,0,0,0,3773875,3773875,1,5,0,0,0,0
T1_LE56.filtered.gatk.gd,T1_LE56,9,6,3,0,0,0,0,0,0,0,3773875,3773875,2,4,0,0,0,0
T1_LE57.filtered.gatk.gd,T1_LE57,8,4,4,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,3
T1_LE58.filtered.gatk.gd,T1_LE58,9,4,5,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,3
T1_LE59.filtered.gatk.gd,T1_LE59,8,6,2,0,0,0,0,0,0,0,3773875,3773875,1,2,0,0,0,3
T1_LE5.filtered.gatk.gd,T1_LE5,6,4,2,0,0,0,0,0,0,0,3773875,3773875,1,3,0,0,0,0
T1_LE60.filtered.gatk.gd,T1_LE60,9,6,3,0,0,0,0,0,0,0,3773875,3773875,0,2,0,0,0,4
T1_LE61.filtered.gatk.gd,T1_LE61,4,4,0,0,0,0,0,0,0,0,3773875,3773875,0,4,0,0,0,0
T1_LE62.filtered.gatk.gd,T1_LE62,4,4,0,0,0,0,0,0,0,0,3773875,3773875,0,4,0,0,0,0
T1_LE63.filtered.gatk.gd,T1_LE63,6,6,0,0,0,0,0,0,0,0,3773875,3773875,2,4,0,0,0,0
T1_LE64.filtered.gatk.gd,T1_LE64,6,5,1,0,0,0,0,0,0,0,3773875,3773875,1,4,0,0,0,0
T1_LE6.filtered.gatk.gd,T1_LE6,7,5,2,0,0,0,0,0,0,0,3773875,3773875,2,3,0,0,0,0
T1_LE7.filtered.gatk.gd,T1_LE7,4,2,2,0,0,0,0,0,0,0,3773875,3773875,0,2,0,0,0,0
T1_LE8.filtered.gatk.gd,T1_LE8,4,2,2,0,0,0,0,0,0,0,3773875,3773875,0,2,0,0,0,0
T1_WG10.filtered.gatk.gd,T1_WG10,1,0,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_WG11.filtered.gatk.gd,T1_WG11,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_WG12.filtered.gatk.gd,T1_WG12,1,1,0,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T1_WG13.filtered.gatk.gd,T1_WG13,1,0,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_WG14.filtered.gatk.gd,T1_WG14,1,1,0,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T1_WG15.filtered.gatk.gd,T1_WG15,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_WG16.filtered.gatk.gd,T1_WG16,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_WG17.filtered.gatk.gd,T1_WG17,2,1,1,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T1_WG18.filtered.gatk.gd,T1_WG18,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_WG19.filtered.gatk.gd,T1_WG19,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_WG1.filtered.gatk.gd,T1_WG1,2,2,0,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,1
T1_WG20.filtered.gatk.gd,T1_WG20,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_WG21.filtered.gatk.gd,T1_WG21,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_WG22.filtered.gatk.gd,T1_WG22,1,0,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_WG23.filtered.gatk.gd,T1_WG23,2,2,0,0,0,0,0,0,0,0,3773875,3773875,0,2,0,0,0,0
T1_WG24.filtered.gatk.gd,T1_WG24,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_WG25.filtered.gatk.gd,T1_WG25,1,1,0,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T1_WG26.filtered.gatk.gd,T1_WG26,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_WG27.filtered.gatk.gd,T1_WG27,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_WG28.filtered.gatk.gd,T1_WG28,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_WG2.filtered.gatk.gd,T1_WG2,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
