file,sample,CONVERTED-BASES,CONVERTED-READS,INPUT-BASES,INPUT-READS,MAPPED-BASES,MAPPED-READS,total,base_substitution,small_indel,large_deletion,large_insertion,large_amplification,large_substitution,mobile_element_insertion,gene_conversion,inversion,reference_bp,called_reference_bp,base_substitution.synonymous,base_substitution.nonsynonymous,base_substitution.nonsense,base_substitution.noncoding,base_substitution.pseudogene,base_substitution.intergenic
T2_CG23.bre.gd,T2_CG23,1190283620,9504701,1190978923,9510342,412792722,3343121,131,93,38,0,0,0,0,0,0,0,3773875,3711760,1,0,0,90,0,2
T2_CG24.bre.gd,T2_CG24,694569603,5967785,694797010,5969692,690824180,5937864,3,1,2,0,0,0,0,0,0,0,3773875,3709557,0,0,0,0,0,1
T2_CG26.bre.gd,T2_CG26,1748767911,14614750,1750284541,14627092,1737022206,14520030,6,3,3,0,0,0,0,0,0,0,3773875,3712555,0,2,0,0,0,1
T2_CG27.bre.gd,T2_CG27,220439547,1767979,220637220,1769558,217372196,1743496,4,1,3,0,0,0,0,0,0,0,3773875,3706440,0,0,0,0,0,1
T2_CG28.bre.gd,T2_CG28,1186170133,9740830,1187269552,9749678,1176546720,9663141,4,2,2,0,0,0,0,0,0,0,3773875,3712404,1,0,0,0,0,1
T2_CG29.bre.gd,T2_CG29,1472927780,12077868,1474250633,12088548,1464479473,12012091,7,1,6,0,0,0,0,0,0,0,3773875,3712432,0,0,0,0,0,1
T2_CG30.bre.gd,T2_CG30,88577690,709315,88650376,709902,87218279,698407,3,1,2,0,0,0,0,0,0,0,3773875,3632528,0,0,0,0,0,1
T2_CG31.bre.gd,T2_CG31,135751855,1083991,135862852,1084882,134127630,1071277,5,2,3,0,0,0,0,0,0,0,3773875,3692331,1,0,0,0,0,1
T2_CG32.bre.gd,T2_CG32,1631091915,13520598,1632498277,13531974,1622011596,13449507,6,2,4,0,0,0,0,0,0,0,3773875,3712436,0,0,1,0,0,1
T2_CG33.bre.gd,T2_CG33,670294680,5603855,670910086,5608834,666148161,5571012,3,1,2,0,0,0,0,0,0,0,3773875,3711910,0,0,0,0,0,1
T2_CG34.bre.gd,T2_CG34,217872657,1746910,218062175,1748410,216012372,1732163,5,1,4,0,0,0,0,0,0,0,3773875,3706760,0,0,0,0,0,1
T2_CG35.bre.gd,T2_CG35,913688795,7664642,914470378,7671008,790206615,6642568,39,21,18,0,0,0,0,0,0,0,3773875,3712456,0,0,0,20,0,1
T2_CG36.bre.gd,T2_CG36,424640287,3498912,425137146,3502982,377356875,3113257,43,31,12,0,0,0,0,0,0,0,3773875,3710824,1,0,0,29,0,1
T2_CG37.bre.gd,T2_CG37,277131145,2265331,277313759,2266810,274157563,2241344,3,1,2,0,0,0,0,0,0,0,3773875,3708350,0,0,0,0,0,1
T2_CG38.bre.gd,T2_CG38,468180195,3924440,468564754,3927558,464128923,3891209,4,1,3,0,0,0,0,0,0,0,3773875,3711107,0,0,0,0,0,1
T2_CG39.bre.gd,T2_CG39,1929629203,16046679,1931281070,16060054,1911268468,15897252,7,4,3,0,0,0,0,0,0,0,3773875,3712577,1,2,0,0,0,1
T2_CG40.bre.gd,T2_CG40,45685421,366995,45717996,367256,44285327,355727,3,1,2,0,0,0,0,0,0,0,3773875,3228256,0,0,0,0,0,1
T2_CG41.bre.gd,T2_CG41,1581618886,13215335,1582134773,13219566,672908695,5649642,91,65,26,0,0,0,0,0,0,0,3773875,3711869,0,0,0,64,0,1
T2_CG42.bre.gd,T2_CG42,1195133170,9747447,1195998341,9754376,1185080961,9668519,4,1,3,0,0,0,0,0,0,0,3773875,3712309,0,0,0,0,0,1
T2_CG43.bre.gd,T2_CG43,290005793,2294727,290148522,2295868,38511286,308837,72,45,27,0,0,0,0,0,0,0,3773875,3048406,0,0,0,44,0,1
T2_CG44.bre.gd,T2_CG44,1725665102,14169838,1727117919,14181498,1703639440,13990641,5,1,4,0,0,0,0,0,0,0,3773875,3712491,0,0,0,0,0,1
T2_CG46.bre.gd,T2_CG46,1179107592,9699412,1180120985,9707584,1171057947,9635801,4,1,3,0,0,0,0,0,0,0,3773875,3712355,0,0,0,0,0,1
T2_CG47.bre.gd,T2_CG47,1556193166,13212838,1556652675,13216690,944481430,8067715,136,84,52,0,0,0,0,0,0,0,3773875,3713360,0,0,0,83,0,1
T2_CG48.bre.gd,T2_CG48,141745826,1136709,141838284,1137452,139645692,1119738,5,3,2,0,0,0,0,0,0,0,3773875,3688477,0,2,0,0,0,1
T2_WG01.bre.gd,T2_WG01,282375975,2280257,282781317,2283572,279710837,2259328,5,2,3,0,0,0,0,0,0,0,3773875,3709173,0,1,0,0,0,1
